0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
-0.61717975,0.62136614,-0.32482946,0.30327508,-1.2698512,-1.0453943,1.2007773,-0.21483335,0.1308541,-1.0949264,0.56496286,-1.0759974,-2.4579847,0.79318964,1.3146968,0.8761364,-1.0749936,-1.5245904,0.15288068,-1.2323556
-0.56775856,0.6490047,-0.26067418,0.17118806,-1.2202432,-0.97825414,1.1732084,-0.12460791,0.08318068,-0.99934584,0.31547678,-1.0217617,-2.32705,0.68903196,1.2277081,0.7393238,-0.9780572,-1.4070668,0.12630084,-1.1590849
-0.5183373,0.67664325,-0.19651887,0.03910102,-1.1706351,-0.911114,1.1456393,-0.034382477,0.03550727,-0.90376526,0.06599066,-0.96752584,-2.1961153,0.5848744,1.1407195,0.6025111,-0.88112074,-1.2895433,0.09972103,-1.0858141
-0.46891615,0.70428175,-0.13236357,-0.092986,-1.121027,-0.8439738,1.1180702,0.05584295,-0.012166142,-0.80818474,-0.18349543,-0.9132901,-2.0651805,0.4807167,1.0537308,0.46569848,-0.78418434,-1.1720197,0.0731412,-1.0125433
-0.41949496,0.73192024,-0.06820826,-0.22507302,-1.071419,-0.7768336,1.0905013,0.1460684,-0.05983956,-0.7126043,-0.43298155,-0.8590543,-1.934246,0.3765591,0.96674216,0.32888582,-0.6872479,-1.054496,0.046561368,-0.9392726
-0.37007377,0.7595588,-0.004052952,-0.35716006,-1.0218109,-0.7096935,1.0629323,0.23629382,-0.10751297,-0.6170237,-0.68246764,-0.8048186,-1.8033112,0.27240145,0.87975353,0.19207317,-0.59031147,-0.93697256,0.019981533,-0.8660018
-0.32065257,0.78719735,0.060102344,-0.48924708,-0.97220284,-0.6425533,1.0353633,0.32651925,-0.15518638,-0.5214432,-0.9319538,-0.75058275,-1.6723765,0.16824383,0.7927649,0.05526054,-0.49337503,-0.81944895,-0.006598294,-0.79273105
-0.27123135,0.8148359,0.124257624,-0.6213341,-0.9225948,-0.5754131,1.0077944,0.41674468,-0.2028598,-0.42586267,-1.1814399,-0.69634706,-1.5414418,0.0640862,0.7057762,-0.08155206,-0.39643866,-0.7019254,-0.03317812,-0.7194603
-0.22181015,0.8424744,0.18841295,-0.7534211,-0.87298673,-0.50827295,0.9802253,0.50697017,-0.25053322,-0.3302821,-1.430926,-0.6421113,-1.4105071,-0.040071487,0.6187875,-0.21836478,-0.29950216,-0.5844017,-0.059757963,-0.6461896
-0.17238896,0.87011296,0.25256824,-0.8855081,-0.8233786,-0.44113278,0.95265627,0.59719557,-0.29820663,-0.23470156,-1.680412,-0.5878755,-1.2795724,-0.14422911,0.5317989,-0.3551774,-0.20256574,-0.4668782,-0.08633779,-0.5729188
-0.122967765,0.89775145,0.31672356,-1.0175952,-0.7737706,-0.37399262,0.92508733,0.687421,-0.34588006,-0.13912103,-1.9298981,-0.5336397,-1.1486377,-0.24838674,0.44481027,-0.4919901,-0.105629325,-0.34935465,-0.11291762,-0.499648
-0.07354656,0.92539,0.38087884,-1.1496822,-0.7241626,-0.30685246,0.89751834,0.7776464,-0.39355347,-0.043540522,-2.1793842,-0.47940397,-1.017703,-0.3525444,0.3578216,-0.6288027,-0.00869292,-0.23183106,-0.13949746,-0.42637727
-0.02412536,0.95302856,0.44503415,-1.2817693,-0.67455447,-0.23971227,0.8699493,0.8678719,-0.44122687,0.052040026,-2.4288704,-0.4251682,-0.8867682,-0.456702,0.27083296,-0.76561534,0.088243544,-0.11430748,-0.16607727,-0.3531065
0.025295839,0.98066705,0.5091895,-1.4138563,-0.6249464,-0.1725721,0.8423803,0.9580973,-0.48890027,0.14762056,-2.6783564,-0.37093243,-0.75583357,-0.5608597,0.1838443,-0.90242803,0.18517996,0.0032161027,-0.19265711,-0.27983573
0.07471704,1.0083055,0.5733447,-1.5459433,-0.5753383,-0.10543193,0.8148113,1.0483227,-0.5365737,0.24320108,-2.9278426,-0.31669664,-0.62489885,-0.66501725,0.09685564,-1.0392406,0.28211638,0.12073967,-0.21923693,-0.20656498
